2022-07-29 01:40:30.710632 | {'source': 'string', 'url': 'string', 'title': 'string', 'description': 'love football'} | {'Business': 0.13108930348704637, 'Entertainment': 0.24038185610891788, 'Health': 0.0410196960300099, 'Music Feeds': 0.008198076250012272, 'Sci/Tech': 0.1356347913150288, 'Software and Developement': 0.02178735522575379, 'Sports': 0.3999214033706704, 'Toons': 0.021967518212560662} | Sports | 777.188
2022-07-29 13:25:57.959449 | {'source': 'BBC Technology', 'url': 'http://news.bbc.co.uk/go/click/rss/0.91/public/-/2/hi/business/4144939.stm', 'title': 'System gremlins resolved at HSBC', 'description': 'Computer glitches which led to chaos for HSBC customers on Monday are fixed, the High Street bank confirms.'} | {'Business': 0.2184542799310021, 'Entertainment': 0.27335427947650376, 'Health': 0.059910475928975755, 'Music Feeds': 0.007828048441437991, 'Sci/Tech': 0.30511741392374603, 'Software and Developement': 0.019976848339022548, 'Sports': 0.10161081358415491, 'Toons': 0.013747840375156995} | Sci/Tech | 5930.608
2022-07-29 13:26:04.602822 | {'source': 'El Mundo', 'url': 'http://www.elmundo.es/ciencia/ciencia-y-salud/2016-01-04/un-cientifico-descubrio-que-el-hombre-no-es-un-bebe.html', 'title': 'Un científico descubrió que el hombre no es un bebé', 'description': 'El científico de la Universidad de Stanford, Eric W. Weis, ha descubierto que el hombre no es un bebé.'} | {'Business': 0.16149437284670226, 'Entertainment': 0.2368631144421268, 'Health': 0.08248952423862607, 'Music Feeds': 0.00886585211084934, 'Sci/Tech': 0.3528330232342385, 'Software and Developement': 0.02501301540652372, 'Sports': 0.11289767135686979, 'Toons': 0.01954342636406341} | Sci/Tech | 5531.988
2022-07-29 13:26:11.604610 | {'source': 'New York Times', 'url': '', 'title': 'Weis chooses not to make pickoff', 'description': 'This is a text with non-ASCII characters 日本人 中國的 ~=[]()%+@;’#!$_&- éè ;∞¥₤€. We hopè you find it inform@tiv€'} | {'Business': 0.16220232197959325, 'Entertainment': 0.3244577725857607, 'Health': 0.04300250369599474, 'Music Feeds': 0.008064348737308527, 'Sci/Tech': 0.27911972256357764, 'Software and Developement': 0.02386989544286216, 'Sports': 0.13936835330181513, 'Toons': 0.019915081693087814} | Entertainment | 6083.433999999999
2022-07-29 13:27:40.374053 | {'source': 'BBC Technology', 'url': 'http://news.bbc.co.uk/go/click/rss/0.91/public/-/2/hi/business/4144939.stm', 'title': 'System gremlins resolved at HSBC', 'description': 'Computer glitches which led to chaos for HSBC customers on Monday are fixed, the High Street bank confirms.'} | {'Business': 0.2184542799310021, 'Entertainment': 0.27335427947650376, 'Health': 0.059910475928975755, 'Music Feeds': 0.007828048441437991, 'Sci/Tech': 0.30511741392374603, 'Software and Developement': 0.019976848339022548, 'Sports': 0.10161081358415491, 'Toons': 0.013747840375156995} | Sci/Tech | 5909.3949999999995
2022-07-29 13:27:50.920995 | {'source': 'Yahoo World', 'url': 'http://us.rd.yahoo.com/dailynews/rss/world/*http://story.news.yahoo.com/news?tmpl=story2u=/nm/20050104/bs_nm/markets_stocks_us_europe_dc', 'title': 'Wall Street Set to Open Firmer (Reuters)', 'description': "Reuters - Wall Street was set to start higher on\\Tuesday to recoup some of the prior session's losses, though high-profile retailer Amazon.com  may come under\\pressure after a broker downgrade."} | {'Business': 0.14935091004969078, 'Entertainment': 0.30497278929849025, 'Health': 0.07171836879814841, 'Music Feeds': 0.00957007775806719, 'Sci/Tech': 0.2982401541263889, 'Software and Developement': 0.029504894756975274, 'Sports': 0.11319979238535269, 'Toons': 0.023443012826886617} | Entertainment | 10539.711000000001
2022-07-29 13:27:57.747805 | {'source': 'El Mundo', 'url': 'http://www.elmundo.es/ciencia/ciencia-y-salud/2016-01-04/un-cientifico-descubrio-que-el-hombre-no-es-un-bebe.html', 'title': 'Un científico descubrió que el hombre no es un bebé', 'description': 'El científico de la Universidad de Stanford, Eric W. Weis, ha descubierto que el hombre no es un bebé.'} | {'Business': 0.16149437284670226, 'Entertainment': 0.2368631144421268, 'Health': 0.08248952423862607, 'Music Feeds': 0.00886585211084934, 'Sci/Tech': 0.3528330232342385, 'Software and Developement': 0.02501301540652372, 'Sports': 0.11289767135686979, 'Toons': 0.01954342636406341} | Sci/Tech | 5433.07
2022-07-29 13:28:04.450155 | {'source': 'New York Times', 'url': '', 'title': 'Weis chooses not to make pickoff', 'description': 'This is a text with non-ASCII characters 日本人 中國的 ~=[]()%+@;’#!$_&- éè ;∞¥₤€. We hopè you find it inform@tiv€'} | {'Business': 0.16220232197959325, 'Entertainment': 0.3244577725857607, 'Health': 0.04300250369599474, 'Music Feeds': 0.008064348737308527, 'Sci/Tech': 0.27911972256357764, 'Software and Developement': 0.02386989544286216, 'Sports': 0.13936835330181513, 'Toons': 0.019915081693087814} | Entertainment | 5781.289
2022-07-29 13:29:37.094332 | {'source': 'BBC Technology', 'url': 'http://news.bbc.co.uk/go/click/rss/0.91/public/-/2/hi/business/4144939.stm', 'title': 'System gremlins resolved at HSBC', 'description': 'Computer glitches which led to chaos for HSBC customers on Monday are fixed, the High Street bank confirms.'} | {'Business': 0.2184542799310021, 'Entertainment': 0.27335427947650376, 'Health': 0.059910475928975755, 'Music Feeds': 0.007828048441437991, 'Sci/Tech': 0.30511741392374603, 'Software and Developement': 0.019976848339022548, 'Sports': 0.10161081358415491, 'Toons': 0.013747840375156995} | Sci/Tech | 5939.304
2022-07-29 13:29:48.674672 | {'source': 'Yahoo World', 'url': 'http://us.rd.yahoo.com/dailynews/rss/world/*http://story.news.yahoo.com/news?tmpl=story2u=/nm/20050104/bs_nm/markets_stocks_us_europe_dc', 'title': 'Wall Street Set to Open Firmer (Reuters)', 'description': "Reuters - Wall Street was set to start higher on\\Tuesday to recoup some of the prior session's losses, though high-profile retailer Amazon.com  may come under\\pressure after a broker downgrade."} | {'Business': 0.14935091004969078, 'Entertainment': 0.30497278929849025, 'Health': 0.07171836879814841, 'Music Feeds': 0.00957007775806719, 'Sci/Tech': 0.2982401541263889, 'Software and Developement': 0.029504894756975274, 'Sports': 0.11319979238535269, 'Toons': 0.023443012826886617} | Entertainment | 11572.913
2022-07-29 13:29:56.450977 | {'source': 'El Mundo', 'url': 'http://www.elmundo.es/ciencia/ciencia-y-salud/2016-01-04/un-cientifico-descubrio-que-el-hombre-no-es-un-bebe.html', 'title': 'Un científico descubrió que el hombre no es un bebé', 'description': 'El científico de la Universidad de Stanford, Eric W. Weis, ha descubierto que el hombre no es un bebé.'} | {'Business': 0.16149437284670226, 'Entertainment': 0.2368631144421268, 'Health': 0.08248952423862607, 'Music Feeds': 0.00886585211084934, 'Sci/Tech': 0.3528330232342385, 'Software and Developement': 0.02501301540652372, 'Sports': 0.11289767135686979, 'Toons': 0.01954342636406341} | Sci/Tech | 6505.328
2022-07-29 13:30:03.584888 | {'source': 'New York Times', 'url': '', 'title': 'Weis chooses not to make pickoff', 'description': 'This is a text with non-ASCII characters 日本人 中國的 ~=[]()%+@;’#!$_&- éè ;∞¥₤€. We hopè you find it inform@tiv€'} | {'Business': 0.16220232197959325, 'Entertainment': 0.3244577725857607, 'Health': 0.04300250369599474, 'Music Feeds': 0.008064348737308527, 'Sci/Tech': 0.27911972256357764, 'Software and Developement': 0.02386989544286216, 'Sports': 0.13936835330181513, 'Toons': 0.019915081693087814} | Entertainment | 6172.371
2022-07-29 13:31:29.910640 | {'source': 'BBC Technology', 'url': 'http://news.bbc.co.uk/go/click/rss/0.91/public/-/2/hi/business/4144939.stm', 'title': 'System gremlins resolved at HSBC', 'description': 'Computer glitches which led to chaos for HSBC customers on Monday are fixed, the High Street bank confirms.'} | {'Business': 0.2184542799310021, 'Entertainment': 0.27335427947650376, 'Health': 0.059910475928975755, 'Music Feeds': 0.007828048441437991, 'Sci/Tech': 0.30511741392374603, 'Software and Developement': 0.019976848339022548, 'Sports': 0.10161081358415491, 'Toons': 0.013747840375156995} | Sci/Tech | 5738.296
2022-07-29 13:31:40.112573 | {'source': 'Yahoo World', 'url': 'http://us.rd.yahoo.com/dailynews/rss/world/*http://story.news.yahoo.com/news?tmpl=story2u=/nm/20050104/bs_nm/markets_stocks_us_europe_dc', 'title': 'Wall Street Set to Open Firmer (Reuters)', 'description': "Reuters - Wall Street was set to start higher on\\Tuesday to recoup some of the prior session's losses, though high-profile retailer Amazon.com  may come under\\pressure after a broker downgrade."} | {'Business': 0.14935091004969078, 'Entertainment': 0.30497278929849025, 'Health': 0.07171836879814841, 'Music Feeds': 0.00957007775806719, 'Sci/Tech': 0.2982401541263889, 'Software and Developement': 0.029504894756975274, 'Sports': 0.11319979238535269, 'Toons': 0.023443012826886617} | Entertainment | 10195.1
2022-07-29 13:31:50.967386 | {'source': 'New York Times', 'url': '', 'title': 'Weis chooses not to make pickoff', 'description': "Bill Belichick won't have to worry about Charlie Weis raiding his coaching staff for Notre Dame. But we'll have to see whether new Miami Dolphins coach Nick Saban has an eye on any of his former assistants."} | {'Business': 0.21055799921083382, 'Entertainment': 0.3259126789869482, 'Health': 0.07027369265749168, 'Music Feeds': 0.008169775883735268, 'Sci/Tech': 0.2441965759347866, 'Software and Developement': 0.021362165759911414, 'Sports': 0.104898215926822, 'Toons': 0.014628895639470979} | Entertainment | 10848.477
2022-07-29 13:31:57.657943 | {'source': 'El Mundo', 'url': 'http://www.elmundo.es/ciencia/ciencia-y-salud/2016-01-04/un-cientifico-descubrio-que-el-hombre-no-es-un-bebe.html', 'title': 'Un científico descubrió que el hombre no es un bebé', 'description': 'El científico de la Universidad de Stanford, Eric W. Weis, ha descubierto que el hombre no es un bebé.'} | {'Business': 0.16149437284670226, 'Entertainment': 0.2368631144421268, 'Health': 0.08248952423862607, 'Music Feeds': 0.00886585211084934, 'Sci/Tech': 0.3528330232342385, 'Software and Developement': 0.02501301540652372, 'Sports': 0.11289767135686979, 'Toons': 0.01954342636406341} | Sci/Tech | 5718.3060000000005
2022-07-29 13:32:04.465217 | {'source': 'New York Times', 'url': '', 'title': 'Weis chooses not to make pickoff', 'description': 'This is a text with non-ASCII characters 日本人 中國的 ~=[]()%+@;’#!$_&- éè ;∞¥₤€. We hopè you find it inform@tiv€'} | {'Business': 0.16220232197959325, 'Entertainment': 0.3244577725857607, 'Health': 0.04300250369599474, 'Music Feeds': 0.008064348737308527, 'Sci/Tech': 0.27911972256357764, 'Software and Developement': 0.02386989544286216, 'Sports': 0.13936835330181513, 'Toons': 0.019915081693087814} | Entertainment | 5686.8949999999995
2022-07-29 13:35:54.928880 | {'source': 'BBC Technology', 'url': 'http://news.bbc.co.uk/go/click/rss/0.91/public/-/2/hi/business/4144939.stm', 'title': 'System gremlins resolved at HSBC', 'description': 'Computer glitches which led to chaos for HSBC customers on Monday are fixed, the High Street bank confirms.'} | {'Business': 0.2184542799310021, 'Entertainment': 0.27335427947650376, 'Health': 0.059910475928975755, 'Music Feeds': 0.007828048441437991, 'Sci/Tech': 0.30511741392374603, 'Software and Developement': 0.019976848339022548, 'Sports': 0.10161081358415491, 'Toons': 0.013747840375156995} | Sci/Tech | 5988.498
2022-07-29 13:36:05.946438 | {'source': 'Yahoo World', 'url': 'http://us.rd.yahoo.com/dailynews/rss/world/*http://story.news.yahoo.com/news?tmpl=story2u=/nm/20050104/bs_nm/markets_stocks_us_europe_dc', 'title': 'Wall Street Set to Open Firmer (Reuters)', 'description': "Reuters - Wall Street was set to start higher on\\Tuesday to recoup some of the prior session's losses, though high-profile retailer Amazon.com  may come under\\pressure after a broker downgrade."} | {'Business': 0.14935091004969078, 'Entertainment': 0.30497278929849025, 'Health': 0.07171836879814841, 'Music Feeds': 0.00957007775806719, 'Sci/Tech': 0.2982401541263889, 'Software and Developement': 0.029504894756975274, 'Sports': 0.11319979238535269, 'Toons': 0.023443012826886617} | Entertainment | 11010.121
2022-07-29 13:36:19.594184 | {'source': 'New York Times', 'url': '', 'title': 'Weis chooses not to make pickoff', 'description': "Bill Belichick won't have to worry about Charlie Weis raiding his coaching staff for Notre Dame. But we'll have to see whether new Miami Dolphins coach Nick Saban has an eye on any of his former assistants."} | {'Business': 0.21055799921083382, 'Entertainment': 0.3259126789869482, 'Health': 0.07027369265749168, 'Music Feeds': 0.008169775883735268, 'Sci/Tech': 0.2441965759347866, 'Software and Developement': 0.021362165759911414, 'Sports': 0.104898215926822, 'Toons': 0.014628895639470979} | Entertainment | 13641.621000000001
2022-07-29 13:36:26.735038 | {'source': 'El Mundo', 'url': 'http://www.elmundo.es/ciencia/ciencia-y-salud/2016-01-04/un-cientifico-descubrio-que-el-hombre-no-es-un-bebe.html', 'title': 'Un científico descubrió que el hombre no es un bebé', 'description': 'El científico de la Universidad de Stanford, Eric W. Weis, ha descubierto que el hombre no es un bebé.'} | {'Business': 0.16149437284670226, 'Entertainment': 0.2368631144421268, 'Health': 0.08248952423862607, 'Music Feeds': 0.00886585211084934, 'Sci/Tech': 0.3528330232342385, 'Software and Developement': 0.02501301540652372, 'Sports': 0.11289767135686979, 'Toons': 0.01954342636406341} | Sci/Tech | 6155.216
2022-07-29 13:36:33.990997 | {'source': 'New York Times', 'url': '', 'title': 'Weis chooses not to make pickoff', 'description': 'This is a text with non-ASCII characters 日本人 中國的 ~=[]()%+@;’#!$_&- éè ;∞¥₤€. We hopè you find it inform@tiv€'} | {'Business': 0.16220232197959325, 'Entertainment': 0.3244577725857607, 'Health': 0.04300250369599474, 'Music Feeds': 0.008064348737308527, 'Sci/Tech': 0.27911972256357764, 'Software and Developement': 0.02386989544286216, 'Sports': 0.13936835330181513, 'Toons': 0.019915081693087814} | Entertainment | 6274.38
